1020,18433,20,1455546371591,1455546372317,707
1020,18475,62,1455546371595,1455546372322,713
1020,18465,52,1455546371594,1455546372327,716
1020,18421,8,1455546371590,1455546372328,721
1020,18423,10,1455546371590,1455546372328,719
1020,18413,0,1455546371589,1455546372342,731
1020,18469,56,1455546371594,1455546372347,736
1020,18431,18,1455546371591,1455546372353,742
1020,18447,34,1455546371592,1455546372362,752
1020,18464,51,1455546371594,1455546372369,760
1020,18434,21,1455546371591,1455546372369,758
1020,18444,31,1455546371592,1455546372371,761
1020,18445,32,1455546371592,1455546372374,765
1020,18452,39,1455546371593,1455546372376,767
1020,18415,2,1455546371589,1455546372376,768
1020,18460,47,1455546371594,1455546372376,768
1020,18436,23,1455546371591,1455546372377,769
1020,18449,36,1455546371593,1455546372380,769
1020,18429,16,1455546371591,1455546372398,789
1020,18441,28,1455546371592,1455546372399,789
1020,18470,57,1455546371594,1455546372412,801
1020,18468,55,1455546371594,1455546372414,803
1020,18454,41,1455546371593,1455546372417,808
1020,18416,3,1455546371589,1455546372420,812
1020,18466,53,1455546371594,1455546372424,815
1020,18432,19,1455546371591,1455546372428,818
1020,18476,63,1455546371595,1455546372430,822
1020,18440,27,1455546371592,1455546372431,821
1020,18456,43,1455546371593,1455546372432,824
1020,18420,7,1455546371590,1455546372440,831
1020,18474,61,1455546371595,1455546372442,833
1020,18414,1,1455546371589,1455546372448,839
1020,18438,25,1455546371591,1455546372452,843
1020,18462,49,1455546371594,1455546372461,851
1020,18442,29,1455546371592,1455546372470,861
1020,18424,11,1455546371590,1455546372474,865
1020,18450,37,1455546371593,1455546372480,870
1020,18472,59,1455546371595,1455546372480,870
1020,18458,45,1455546371593,1455546372481,871
1020,18448,35,1455546371593,1455546372482,871
1020,18418,5,1455546371590,1455546372493,883
1020,18426,13,1455546371590,1455546372497,887
1020,18428,15,1455546371591,1455546372499,890
1020,18422,9,1455546371590,1455546372518,909
1020,18430,17,1455546371591,1455546372555,946
1020,18446,33,1455546371592,1455546372566,955
1024,18524,39,1455546372838,1455546373558,702
1024,18510,25,1455546372836,1455546373558,706
1024,18530,45,1455546372838,1455546373561,705
1024,18548,63,1455546372840,1455546373561,708
1024,18500,15,1455546372836,1455546373562,708
1024,18502,17,1455546372836,1455546373563,709
1024,18536,51,1455546372839,1455546373563,708
1024,18526,41,1455546372838,1455546373563,709
1024,18512,27,1455546372837,1455546373563,709
1024,18496,11,1455546372835,1455546373564,709
1024,18488,3,1455546372834,1455546373566,712
1024,18540,55,1455546372839,1455546373568,713
1024,18508,23,1455546372836,1455546373569,714
1024,18546,61,1455546372840,1455546373571,717
1024,18494,9,1455546372835,1455546373574,719
1024,18498,13,1455546372835,1455546373579,723
1024,18528,43,1455546372838,1455546373579,726
1024,18486,1,1455546372834,1455546373580,728
1024,18506,21,1455546372836,1455546373581,729
1024,18532,47,1455546372838,1455546373585,732
1024,18522,37,1455546372837,1455546373585,730
1024,18504,19,1455546372836,1455546373585,732
1024,18538,53,1455546372839,1455546373587,732
1024,18542,57,1455546372839,1455546373587,732
1024,18518,33,1455546372837,1455546373588,733
1024,18490,5,1455546372835,1455546373591,737
1024,18520,35,1455546372837,1455546373598,744
1024,18544,59,1455546372839,1455546373609,754
1024,18534,49,1455546372839,1455546373619,763
1024,18523,38,1455546372838,1455546373622,761
1024,18509,24,1455546372836,1455546373622,765
1024,18545,60,1455546372840,1455546373622,764
1024,18516,31,1455546372837,1455546373627,773
1024,18514,29,1455546372837,1455546373629,776
1024,18492,7,1455546372835,1455546373630,778
