stage,task,task_id,start,finish,deserial,serial,run_time,jvm_gc
185,252,1,1452689834491,1452689835645,19,0,1126,19
185,253,2,1452689834492,1452689835635,17,0,1117,19
185,254,3,1452689834492,1452689835659,16,0,1142,19
188,255,0,1452689835687,1452689836881,15,0,1171,19
188,256,1,1452689835687,1452689836866,17,1,1154,19
188,257,2,1452689835688,1452689836859,16,0,1148,19
188,258,3,1452689835688,1452689836852,14,0,1141,19
191,259,0,1452689836910,1452689838106,15,0,1173,17
191,260,1,1452689836910,1452689838072,15,0,1137,17
191,261,2,1452689836911,1452689838097,15,0,1163,17
191,262,3,1452689836911,1452689838076,14,0,1143,17
194,263,0,1452689838134,1452689839321,16,1,1162,13
194,264,1,1452689838135,1452689839258,16,0,1097,0
194,265,2,1452689838135,1452689839259,15,0,1101,0
194,266,3,1452689838136,1452689839261,15,1,1102,0
197,267,0,1452689839349,1452689840530,15,0,1157,0
197,268,1,1452689839349,1452689840448,15,0,1075,0
197,269,2,1452689839350,1452689840458,14,0,1086,0
197,270,3,1452689839350,1452689840518,15,1,1144,0
200,271,0,1452689840558,1452689841744,15,0,1163,7
200,272,1,1452689840558,1452689841732,14,1,1151,7
200,273,2,1452689840559,1452689841693,15,1,1109,7
200,274,3,1452689840559,1452689841702,13,0,1122,7
203,275,0,1452689841789,1452689842971,15,0,1158,9
203,276,1,1452689841789,1452689842916,15,0,1104,9
203,277,2,1452689841790,1452689842917,14,0,1102,9
203,278,3,1452689841790,1452689842932,15,0,1119,9
206,279,0,1452689843000,1452689844185,15,0,1162,11
206,280,1,1452689843000,1452689844138,15,1,1113,11
206,281,2,1452689843001,1452689844149,15,0,1125,11
206,282,3,1452689843001,1452689844145,16,0,1119,11
209,283,0,1452689844212,1452689845395,14,0,1161,13
209,284,1,1452689844213,1452689845340,15,0,1104,13
209,285,2,1452689844213,1452689845340,13,0,1104,13
209,286,3,1452689844213,1452689845351,14,1,1115,13
212,287,0,1452689845423,1452689846595,13,0,1151,17
212,288,1,1452689845424,1452689846570,14,0,1090,17
212,289,2,1452689845424,1452689846571,13,0,1120,17
212,290,3,1452689845424,1452689846571,13,0,1120,17
215,291,0,1452689846623,1452689847764,14,0,1120,17
215,292,1,1452689846624,1452689847726,14,0,1080,17
215,293,2,1452689846624,1452689847779,14,0,1133,17
215,294,3,1452689846624,1452689847753,15,1,1105,17
218,295,0,1452689847806,1452689849031,17,0,1200,17
218,296,1,1452689847807,1452689848909,16,1,1076,17
218,297,2,1452689847807,1452689848956,16,0,1122,17
218,298,3,1452689847807,1452689848949,16,0,1117,17
221,299,0,1452689849058,1452689850259,15,1,1177,21
221,300,1,1452689849058,1452689850175,15,0,1093,21
221,301,2,1452689849059,1452689850179,16,0,1097,21
221,302,3,1452689849059,1452689850210,16,0,1128,21
224,303,0,1452689850285,1452689851522,17,0,1212,21
224,304,1,1452689850285,1452689851409,15,0,1100,21
224,305,2,1452689850286,1452689851444,16,0,1134,21
224,306,3,1452689850286,1452689851448,16,0,1139,21
227,307,0,1452689851550,1452689852738,16,0,1165,19
227,308,1,1452689851550,1452689852720,18,0,1143,19
227,309,2,1452689851550,1452689852723,15,0,1150,19
227,310,3,1452689851551,1452689852726,17,0,1151,19
230,311,0,1452689852764,1452689853950,15,0,1163,14
230,312,1,1452689852765,1452689853880,14,0,1091,0
230,313,2,1452689852765,1452689853879,15,0,1090,0
230,314,3,1452689852765,1452689853926,13,0,1139,0
233,315,0,1452689853977,1452689855150,14,1,1150,0
233,316,1,1452689853977,1452689855103,15,0,1102,0
233,317,2,1452689853978,1452689855105,14,1,1105,0
233,318,3,1452689853978,1452689855150,14,0,1149,0
236,319,0,1452689855176,1452689856357,15,0,1158,8
236,320,1,1452689855177,1452689856284,16,0,1083,8
236,321,2,1452689855177,1452689856303,15,0,1103,8
236,322,3,1452689855177,1452689856364,14,0,1165,8
239,323,0,1452689856414,1452689857632,14,0,1196,10
239,324,1,1452689856414,1452689857515,13,1,1080,10
239,325,2,1452689856414,1452689857551,13,0,1116,10
239,326,3,1452689856414,1452689857556,13,0,1121,10
242,327,0,1452689857657,1452689858855,15,0,1175,12
242,328,1,1452689857657,1452689858801,15,0,1122,12
242,329,2,1452689857657,1452689858751,15,0,1071,12
242,330,3,1452689857657,1452689858795,15,1,1114,12
245,331,0,1452689858896,1452689860101,17,0,1181,13
245,332,1,1452689858896,1452689860056,18,0,1135,13
245,333,2,1452689858896,1452689860003,18,0,1083,13
245,334,3,1452689858897,1452689859999,17,0,1077,13
248,335,0,1452689860124,1452689861305,13,0,1160,15
248,336,1,1452689860124,1452689861255,14,0,1110,15
248,337,2,1452689860124,1452689861226,12,1,1082,15
248,338,3,1452689860125,1452689861225,12,1,1080,15
251,339,0,1452689861328,1452689862517,13,0,1169,23
251,340,1,1452689861328,1452689862437,14,0,1087,23
251,341,2,1452689861329,1452689862442,13,0,1093,23
251,342,3,1452689861329,1452689862442,13,0,1093,23
254,343,0,1452689862545,1452689863722,16,0,1153,17
254,344,1,1452689862546,1452689863657,16,0,1086,17
254,345,2,1452689862546,1452689863680,16,0,1110,17
254,346,3,1452689862547,1452689863708,16,0,1137,17
257,347,0,1452689863749,1452689864943,14,0,1172,17
257,348,1,1452689863749,1452689864884,16,1,1110,17
257,349,2,1452689863750,1452689864916,15,0,1144,17
257,350,3,1452689863750,1452689864904,16,0,1130,17
260,351,0,1452689864969,1452689866200,15,0,1209,18
260,352,1,1452689864969,1452689866102,16,0,1110,18
260,353,2,1452689864969,1452689866104,13,1,1114,18
260,354,3,1452689864969,1452689866149,14,0,1158,18
263,355,0,1452689866227,1452689867447,14,0,1196,17
263,356,1,1452689866228,1452689867372,14,1,1122,17
263,357,2,1452689866228,1452689867367,14,0,1117,17
263,358,3,1452689866229,1452689867374,13,1,1125,17
266,359,0,1452689867474,1452689868689,15,0,1191,13
266,360,1,1452689867475,1452689868573,15,0,1075,0
266,361,2,1452689867475,1452689868619,15,0,1121,0
266,362,3,1452689867475,1452689868606,13,0,1109,0
269,363,0,1452689868716,1452689869915,14,0,1177,0
269,364,1,1452689868717,1452689869895,15,0,1156,0
269,365,2,1452689868717,1452689869835,15,1,1095,0
269,366,3,1452689868717,1452689869848,15,0,1109,0
272,367,0,1452689869948,1452689871159,13,0,1191,7
272,368,1,1452689869948,1452689871050,15,1,1079,7
272,369,2,1452689869948,1452689871058,15,0,1088,7
272,370,3,1452689869948,1452689871108,14,0,1138,7
275,371,0,1452689871185,1452689872389,12,0,1184,9
275,372,1,1452689871186,1452689872299,13,0,1092,9
275,373,2,1452689871186,1452689872302,14,0,1095,9
275,374,3,1452689871186,1452689872384,13,0,1178,9
278,375,0,1452689872413,1452689873625,14,0,1190,12
278,376,1,1452689872414,1452689873636,15,0,1200,12
278,377,2,1452689872414,1452689873541,15,0,1104,12
278,378,3,1452689872414,1452689873546,13,0,1111,12
281,379,0,1452689873660,1452689875041,15,0,1359,13
281,380,1,1452689873660,1452689874776,13,0,1095,13
281,381,2,1452689873661,1452689874752,13,0,1070,13
281,382,3,1452689873661,1452689874813,13,0,1131,13
284,383,0,1452689875065,1452689876363,15,1,1275,17
284,384,1,1452689875065,1452689876168,12,0,1083,17
284,385,2,1452689875066,1452689876171,12,0,1086,17
284,386,3,1452689875066,1452689876171,12,0,1087,17
287,387,0,1452689876386,1452689877612,13,0,1207,16
287,388,1,1452689876386,1452689877443,14,0,1035,16
287,389,2,1452689876386,1452689877484,12,0,1078,16
287,390,3,1452689876387,1452689877541,14,0,1134,16
290,391,0,1452689877648,1452689878918,15,0,1249,17
290,392,1,1452689877648,1452689878771,15,0,1102,17
290,393,2,1452689877648,1452689878768,15,0,1097,17
290,394,3,1452689877649,1452689878773,15,0,1104,17
293,395,0,1452689878942,1452689880146,13,0,1184,19
293,396,1,1452689878942,1452689880055,12,0,1093,19
293,397,2,1452689878942,1452689880077,13,0,1114,19
293,398,3,1452689878943,1452689880077,12,0,1115,19
296,399,0,1452689880168,1452689881384,13,0,1196,16
296,400,1,1452689880168,1452689881276,13,0,1088,16
296,401,2,1452689880169,1452689881301,14,1,1112,16
296,402,3,1452689880169,1452689881327,13,1,1137,16
299,403,0,1452689881408,1452689882627,13,0,1199,15
299,404,1,1452689881409,1452689882524,12,0,1096,0
299,405,2,1452689881409,1452689882579,13,0,1151,15
299,406,3,1452689881409,1452689882551,12,0,1123,15
302,407,0,1452689882659,1452689883877,13,0,1197,0
302,408,1,1452689882660,1452689883777,14,0,1096,0
302,409,2,1452689882660,1452689883777,13,0,1095,0
302,410,3,1452689882660,1452689883815,13,0,1134,0
305,411,0,1452689883905,1452689885166,15,0,1238,7
305,412,1,1452689883905,1452689885042,13,0,1115,7
305,413,2,1452689883905,1452689885048,14,0,1120,7
305,414,3,1452689883906,1452689885049,14,0,1123,7
308,415,0,1452689885199,1452689886392,14,1,1172,7
308,416,1,1452689885199,1452689886302,14,1,1080,7
308,417,2,1452689885199,1452689886329,14,0,1109,7
308,418,3,1452689885200,1452689886352,14,1,1131,7
311,419,0,1452689886419,1452689887603,14,0,1164,10
311,420,1,1452689886419,1452689887556,13,0,1116,10
311,421,2,1452689886419,1452689887558,13,0,1119,10
311,422,3,1452689886420,1452689887564,13,1,1124,10
314,423,0,1452689887631,1452689888823,14,0,1171,10
314,424,1,1452689887631,1452689888749,12,1,1097,10
314,425,2,1452689887631,1452689888749,14,0,1097,10
314,426,3,1452689887631,1452689888805,12,1,1154,10
317,427,0,1452689888849,1452689890004,14,0,1135,14
317,428,1,1452689888850,1452689889967,11,1,1097,14
317,429,2,1452689888850,1452689889967,11,0,1099,14
317,430,3,1452689888850,1452689890001,12,0,1132,14
320,431,0,1452689890032,1452689891240,13,0,1187,16
320,432,1,1452689890033,1452689891174,13,0,1121,16
320,433,2,1452689890033,1452689891155,14,0,1100,16
320,434,3,1452689890033,1452689891167,14,0,1112,16
323,435,0,1452689891271,1452689892482,14,1,1189,18
323,436,1,1452689891271,1452689892387,13,0,1096,18
323,437,2,1452689891272,1452689892389,12,0,1098,18
323,438,3,1452689891272,1452689892404,13,1,1112,18
326,439,0,1452689892510,1452689893699,13,1,1169,19
326,440,1,1452689892511,1452689893612,11,0,1082,19
326,441,2,1452689892511,1452689893619,13,0,1088,19
326,442,3,1452689892511,1452689893676,13,0,1146,19
329,443,0,1452689893724,1452689894961,12,0,1219,21
329,444,1,1452689893725,1452689894885,11,0,1143,21
329,445,2,1452689893725,1452689894850,12,0,1106,21
329,446,3,1452689893725,1452689894862,11,0,1120,21
332,447,0,1452689894989,1452689896230,11,0,1223,19
332,448,1,1452689894989,1452689896116,11,0,1108,19
332,449,2,1452689894989,1452689896117,10,1,1109,19
332,450,3,1452689894990,1452689896130,11,1,1123,19
335,451,0,1452689896256,1452689897497,14,1,1220,17
335,452,1,1452689896256,1452689897350,13,1,1073,0
335,453,2,1452689896257,1452689897357,14,0,1081,0
335,454,3,1452689896257,1452689897426,13,0,1151,17
338,455,0,1452689897540,1452689898749,10,0,1193,0
338,456,1,1452689897540,1452689898651,10,0,1094,0
338,457,2,1452689897540,1452689898656,12,0,1097,0
338,458,3,1452689897541,1452689898667,11,1,1108,0
341,459,0,1452689898775,1452689900061,13,0,1267,6
341,460,1,1452689898775,1452689899864,10,0,1072,6
341,461,2,1452689898775,1452689899887,12,0,1094,6
341,462,3,1452689898775,1452689899931,11,0,1139,6
344,463,0,1452689900086,1452689901318,11,1,1214,8
344,464,1,1452689900086,1452689901206,11,0,1101,8
344,465,2,1452689900087,1452689901209,11,0,1106,8
344,466,3,1452689900087,1452689901215,12,0,1111,8
347,467,0,1452689901344,1452689902498,12,0,1135,10
347,468,1,1452689901344,1452689902438,10,0,1077,10
347,469,2,1452689901345,1452689902449,12,0,1086,10
347,470,3,1452689901345,1452689902516,12,0,1154,10
350,471,0,1452689902543,1452689903732,11,0,1171,12
350,472,1,1452689902544,1452689903625,12,0,1062,12
350,473,2,1452689902544,1452689903653,12,0,1091,12
350,474,3,1452689902544,1452689903667,11,0,1106,12
353,475,0,1452689903758,1452689904943,13,0,1167,14
353,476,1,1452689903758,1452689904842,11,0,1066,14
353,477,2,1452689903758,1452689904859,11,0,1083,14
353,478,3,1452689903758,1452689904904,11,0,1128,14
356,479,0,1452689904970,1452689906128,11,0,1141,16
356,480,1,1452689904970,1452689906039,12,0,1050,16
356,481,2,1452689904970,1452689906119,12,1,1130,16
356,482,3,1452689904970,1452689906087,11,0,1100,16
359,483,0,1452689906154,1452689907313,11,0,1141,18
359,484,1,1452689906154,1452689907274,12,0,1102,18
359,485,2,1452689906154,1452689907264,11,0,1091,18
